Fiscal Year,Claim Number,Date of Claim,Company Code,Event Date Reported,BI Reserve,BI Paid,BI Collection,PD Reserve,PD Paid,PD Collection,Expense Reserve,Expense Paid,Expense Collection,Incurred Sum,CSH O/C Status Code
1999,980603511,1998-06-12,0003,1998-06-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,617.32,0.00,617.32,C
1999,980603512,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,200.39,0.00,0.00,476.48,0.00,676.87,C
1999,980603513,1998-06-15,0003,1998-06-17,0.00,0.00,0.00,0.00,1590.00,0.00,0.00,0.00,0.00,1590.00,C
1999,980603514,1998-06-16,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.00,0.00,234.00,C
1999,980603515,1998-06-16,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603516,1998-06-16,0003,1998-06-18,0.00,0.00,0.00,0.00,1931.27,0.00,0.00,0.00,0.00,1931.27,C
1999,980603517,1998-06-16,0003,1998-06-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603518,1998-06-17,0003,1998-06-19,0.00,9500.00,0.00,0.00,2068.34,0.00,0.00,1255.22,0.00,12823.56,C
1999,980603519,1998-06-17,0003,1998-06-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603520,1998-06-17,0003,1998-06-19,0.00,0.00,0.00,0.00,1675.00,0.00,0.00,0.00,0.00,1675.00,C
1999,980603521,1998-06-17,0003,1998-06-18,0.00,0.00,0.00,0.00,767.27,0.00,0.00,161.72,0.00,928.99,C
1999,980603522,1998-06-17,0003,1998-06-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.32,0.00,130.32,C
1999,980603523,1998-06-17,0003,1998-06-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353.65,0.00,353.65,C
1999,980603524,1998-06-17,0003,1998-06-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,0.00,196.00,C
1999,980603525,1998-06-18,0003,1998-06-19,0.00,0.00,0.00,0.00,406.22,0.00,0.00,576.74,0.00,982.96,C
